duration,protocol,service,flag,src_bytes,dst_bytes,land,wrong_frag,urgent,count,serror_rate,dst_host_same_srv_rate,label
20,UDP,ntp_u,SF,658,1324,0,2,1,1,0.03,0.89,normal
120,ICMP,echo,SF,0,0,0,3,0,9,0.14,0.89,probe
10,TCP,smtp,REJ,1271,1451,0,0,3,9,0.1,0.77,dos
20,ICMP,echo,SF,0,0,0,1,1,26,0.23,0.37,probe
5,UDP,ntp_u,SF,860,1027,0,1,0,13,0.27,0.67,normal
1,ICMP,echo,SF,0,0,0,0,3,3,0.4,0.58,probe
2,TCP,http,SF,1375,754,0,1,1,11,0.15,0.66,normal
5,UDP,eco_i,SF,1351,935,0,1,1,10,0.11,0.76,normal
1,TCP,http,REJ,1633,1495,0,2,2,16,0.3,0.77,dos
0,UDP,eco_i,SF,1418,1119,0,3,2,0,0.42,0.72,normal
0,TCP,telnet,SF,1526,1594,0,0,2,2,0.32,0.91,r2l
0,UDP,dns,SF,0,1091,0,0,3,4,0.34,0.82,normal
15,TCP,smtp,REJ,670,862,0,3,1,12,0.25,0.95,dos
20,UDP,eco_i,SF,599,717,0,2,2,20,0.48,0.81,normal
120,ICMP,echo,SF,0,0,0,1,2,0,0.86,0.93,probe
2,TCP,ftp,SF,729,1416,0,2,2,9,0.43,0.84,r2l
60,TCP,http,SF,643,1580,0,0,1,5,0.67,0.8,normal
1,UDP,ntp_u,SF,1055,1230,0,1,3,35,0.43,0.78,normal
5,UDP,dns,SF,359,187,0,1,1,1,0.27,0.94,normal
0,ICMP,echo,SF,0,0,0,1,2,20,0.32,0.76,probe
20,UDP,ntp_u,SF,1008,1387,0,1,3,7,0.24,0.82,normal
15,TCP,http,S1,1263,1396,0,3,2,3,0.12,0.49,normal
120,ICMP,echo,SF,0,0,0,2,3,8,0.47,0.85,probe
10,TCP,smtp,SF,1068,1708,0,2,0,6,0.52,0.73,normal
20,TCP,smtp,SF,713,1492,0,2,0,8,0.57,0.67,normal
5,TCP,ftp,SF,611,651,0,0,0,3,0.61,0.87,r2l
15,UDP,dns,SF,1178,407,0,3,2,8,0.05,0.8,normal
5,TCP,http,S1,1185,1164,0,0,2,13,0.25,0.72,normal
15,ICMP,echo,SF,0,0,0,3,2,4,0.58,0.61,probe
2,TCP,ftp,SF,1184,1963,0,3,2,3,0.14,0.65,r2l
2,UDP,eco_i,SF,1321,519,0,3,0,3,0.16,0.76,normal
120,TCP,telnet,SF,535,1893,0,0,0,48,0.45,0.76,r2l
2,ICMP,echo,SF,0,0,0,2,3,4,0.62,0.45,probe
1,UDP,dns,SF,970,1325,0,2,0,19,0.43,0.75,normal
2,TCP,ftp,SF,770,2497,0,0,3,10,0.39,0.56,r2l
20,TCP,smtp,SF,1388,2494,0,3,1,11,0.43,0.82,normal
5,TCP,http,SF,1016,1387,0,3,0,18,0.34,0.75,normal
1,ICMP,echo,SF,0,0,0,1,3,0,0.57,0.93,probe
60,ICMP,echo,SF,0,0,0,3,2,2,0.2,0.9,probe
0,UDP,eco_i,SF,654,879,0,0,0,0,0.63,0.83,normal
15,TCP,http,REJ,1199,2242,0,1,0,19,0.45,0.4,dos
10,UDP,eco_i,SF,627,1066,0,0,1,10,0.33,0.81,normal
15,TCP,ftp,SF,883,1549,0,2,0,17,0.25,0.56,r2l
2,TCP,http,SF,1291,2006,0,2,3,0,0.22,0.84,normal
0,TCP,smtp,SF,1115,1420,0,1,1,55,0.13,0.59,normal
0,TCP,smtp,SF,1048,1497,0,0,1,1,0.3,0.8,normal
1,TCP,http,REJ,1316,1519,0,3,0,0,0.1,0.77,dos
1,UDP,ntp_u,SF,530,823,0,3,1,28,0.15,0.79,normal
15,TCP,http,REJ,1365,2241,0,0,1,11,0.67,0.93,dos
5,TCP,http,SF,1091,1312,0,0,3,29,0.21,0.94,normal
20,ICMP,echo,SF,0,0,0,2,3,9,0.21,0.51,probe
0,UDP,eco_i,SF,1216,836,0,3,3,0,0.25,0.76,normal
0,UDP,ntp_u,SF,1070,696,0,3,2,0,0.4,0.7,normal
5,TCP,http,SF,1070,1972,0,1,0,1,0.59,0.84,normal
30,UDP,eco_i,SF,336,1231,0,1,2,4,0.03,0.81,normal
0,UDP,ntp_u,SF,422,1530,0,2,3,9,0.16,0.6,normal
1,TCP,ftp,REJ,1660,420,0,0,2,22,0.33,0.83,dos
60,UDP,eco_i,SF,432,841,0,2,1,0,0.21,0.69,normal
20,UDP,ntp_u,SF,1199,1000,0,3,1,2,0.63,0.58,normal
30,TCP,telnet,SF,1125,643,0,1,0,2,0.6,0.7,r2l
120,ICMP,echo,SF,0,0,0,3,2,8,0.25,0.75,probe
10,TCP,http,SF,1032,1319,0,1,0,0,0.35,0.91,normal
10,UDP,ntp_u,SF,1152,1140,0,3,2,8,0.16,0.83,normal
10,TCP,http,SF,1748,1496,0,3,3,2,0.12,0.9,normal
5,ICMP,echo,SF,0,0,0,2,0,19,0.14,0.68,probe
30,TCP,http,SF,587,1131,0,3,0,52,0.31,0.58,normal
120,TCP,smtp,S1,606,2069,0,1,0,19,0.43,0.81,normal
0,TCP,ftp,S1,986,1273,0,1,0,3,0.32,0.92,r2l
120,TCP,http,SF,1334,1198,0,3,1,2,0.41,0.56,normal
15,TCP,ftp,REJ,1799,2497,0,2,1,53,0.48,0.69,dos
0,TCP,http,SF,0,1874,0,0,1,0,0.26,0.65,normal
15,TCP,ftp,SF,487,2172,0,1,0,48,0.42,0.69,r2l
120,UDP,dns,SF,351,772,0,0,0,20,0.13,0.64,normal
0,TCP,http,REJ,1325,1626,0,2,2,40,0.41,0.84,dos
5,TCP,http,SF,824,1670,0,0,1,16,0.24,0.63,normal
10,TCP,http,SF,1628,1389,0,2,3,12,0.67,0.9,normal
0,TCP,telnet,REJ,835,1501,0,2,1,12,0.18,0.92,dos
120,TCP,http,SF,654,1262,0,3,3,0,0.13,0.84,normal
120,TCP,smtp,SF,687,1608,0,1,3,106,0.39,0.59,normal
5,UDP,eco_i,SF,1239,1024,0,0,0,18,0.23,0.82,normal
15,TCP,smtp,SF,436,986,0,2,2,26,0.54,0.85,normal
10,UDP,dns,SF,916,1311,0,2,2,4,0.56,0.97,normal
15,ICMP,echo,SF,0,0,0,2,1,22,0.32,0.75,probe
5,ICMP,echo,SF,0,0,0,3,1,12,0.06,0.87,probe
2,TCP,smtp,SF,303,1281,0,1,2,37,0.32,0.53,normal
0,TCP,http,SF,1551,799,0,0,3,29,0.34,0.8,normal
0,ICMP,echo,SF,0,0,0,2,1,40,0.5,0.74,probe
15,TCP,http,S1,2460,664,0,2,2,7,0.54,0.73,normal
0,TCP,smtp,SF,0,417,0,3,1,25,0.15,0.62,normal
120,TCP,ftp,SF,596,940,0,3,1,16,0.35,0.64,r2l
20,TCP,ftp,SF,853,1033,0,1,3,24,0.13,0.61,r2l
15,TCP,telnet,SF,1296,2474,0,3,1,31,0.36,0.83,r2l
0,UDP,dns,SF,665,1231,0,0,3,8,0.32,0.66,normal
0,TCP,ftp,SF,1586,1551,0,2,2,2,0.35,0.48,r2l
20,ICMP,echo,SF,0,0,0,2,3,7,0.26,0.94,probe
5,TCP,ftp,SF,1206,1695,0,1,1,9,0.35,0.66,r2l
60,UDP,eco_i,SF,455,783,0,1,1,19,0.13,0.85,normal
60,TCP,http,REJ,633,243,0,2,0,0,0.29,0.64,dos
0,TCP,ftp,SF,1399,1756,0,1,1,36,0.35,0.58,r2l
60,UDP,eco_i,SF,1400,984,0,1,3,12,0.47,0.42,normal
0,ICMP,echo,SF,0,0,0,0,1,16,0.39,0.64,probe
5,UDP,dns,SF,943,1115,0,0,0,9,0.3,0.79,normal
60,TCP,http,SF,1536,1203,0,1,0,68,0.49,0.65,normal
120,ICMP,echo,SF,0,0,0,0,0,17,0.44,0.76,probe
1,TCP,telnet,REJ,224,1023,0,0,2,26,0.19,0.49,dos
10,UDP,eco_i,SF,1167,261,0,3,3,1,0.06,0.95,normal
60,ICMP,echo,SF,0,0,0,0,2,87,0.24,0.9,probe
30,TCP,smtp,SF,1431,1605,0,1,1,12,0.23,0.73,normal
0,UDP,eco_i,SF,1145,1091,0,3,2,24,0.09,0.88,normal
60,TCP,smtp,SF,755,1247,0,0,2,9,0.24,0.57,normal
0,UDP,ntp_u,SF,263,1613,0,2,1,3,0.42,0.53,normal
10,TCP,http,SF,1821,1555,0,3,3,9,0.12,0.79,normal
60,UDP,eco_i,SF,246,1497,0,0,2,6,0.63,0.91,normal
15,UDP,eco_i,SF,556,1228,0,3,0,1,0.36,0.64,normal
0,TCP,ftp,SF,1035,668,0,1,0,7,0.09,0.76,r2l
5,UDP,eco_i,SF,1366,1613,0,0,3,38,0.34,0.91,normal
60,ICMP,echo,SF,0,0,0,3,2,16,0.12,0.78,probe
5,TCP,http,SF,1130,1765,0,0,1,1,0.17,0.64,normal
1,TCP,http,SF,1082,583,0,2,1,7,0.3,0.9,normal
0,TCP,ftp,REJ,1172,483,0,1,0,15,0.07,0.96,dos
60,UDP,dns,SF,629,466,0,3,3,27,0.15,0.88,normal
0,TCP,http,SF,1315,1912,0,0,2,68,0.27,0.94,normal
20,TCP,http,SF,906,1707,0,3,2,57,0.33,0.86,normal
0,ICMP,echo,SF,0,0,0,0,3,8,0.34,0.85,probe
120,UDP,eco_i,SF,1301,609,0,2,3,14,0.07,0.51,normal
0,ICMP,echo,SF,0,0,0,2,1,7,0.27,1.0,probe
5,TCP,smtp,SF,2018,1777,0,3,2,73,0.35,0.68,normal
10,ICMP,echo,SF,0,0,0,2,3,22,0.5,0.65,probe
2,UDP,dns,SF,0,568,0,1,0,1,0.06,0.67,normal
0,TCP,http,REJ,755,2001,0,1,3,22,0.17,0.58,dos
0,ICMP,echo,SF,0,0,0,0,3,24,0.04,0.55,probe
120,TCP,http,S1,838,1008,0,2,0,5,0.03,0.55,normal
120,TCP,smtp,SF,1434,1967,0,1,2,18,0.43,0.58,normal
30,TCP,ftp,REJ,822,828,0,0,0,113,0.54,0.76,dos
20,TCP,http,S1,6,1658,0,0,0,8,0.1,0.37,normal
20,TCP,http,SF,1391,1574,0,3,0,45,0.29,0.43,normal
5,TCP,http,REJ,714,536,0,3,1,30,0.53,0.88,dos
5,ICMP,echo,SF,0,0,0,2,1,2,0.26,0.51,probe
120,ICMP,echo,SF,0,0,0,3,1,27,0.29,0.73,probe
2,TCP,ftp,SF,815,501,0,1,2,8,0.07,0.77,r2l
0,TCP,http,SF,231,1870,0,1,0,3,0.18,0.88,normal
15,TCP,telnet,REJ,1280,1487,0,2,2,2,0.17,0.97,dos
120,ICMP,echo,SF,0,0,0,1,1,10,0.11,0.84,probe
120,UDP,eco_i,SF,353,861,0,2,2,71,0.25,0.46,normal
20,UDP,ntp_u,SF,1071,1118,0,2,1,23,0.03,0.8,normal
1,ICMP,echo,SF,0,0,0,2,0,22,0.45,0.19,probe
20,TCP,http,SF,881,1977,0,2,2,4,0.34,0.54,normal
1,UDP,dns,SF,1289,1420,0,3,0,7,0.15,0.58,normal
1,TCP,telnet,SF,1010,1434,0,1,2,8,0.15,0.7,r2l
0,TCP,ftp,SF,738,1023,0,3,0,35,0.26,0.72,r2l
60,UDP,eco_i,SF,707,838,0,3,2,5,0.42,0.53,normal
5,TCP,http,SF,645,1622,0,3,3,16,0.05,0.87,normal
5,TCP,smtp,SF,1101,1453,0,2,3,0,0.25,0.89,normal
5,TCP,http,SF,741,461,0,1,0,66,0.15,0.91,normal
0,TCP,ftp,REJ,1129,2396,0,2,3,6,0.16,0.84,dos
5,TCP,http,SF,1094,1658,0,3,2,3,0.33,0.91,normal
30,TCP,http,SF,216,760,0,0,1,14,0.18,0.93,normal
120,TCP,http,SF,850,1906,0,3,1,61,0.25,0.89,normal
10,TCP,ftp,SF,1200,1940,0,1,0,12,0.07,0.79,r2l
0,UDP,dns,SF,1106,1625,0,1,0,9,0.54,0.82,normal
5,UDP,dns,SF,1188,483,0,0,1,2,0.49,0.69,normal
5,TCP,smtp,S1,732,2570,0,1,2,50,0.18,0.69,normal
15,ICMP,echo,SF,0,0,0,2,1,27,0.4,0.54,probe
0,TCP,smtp,REJ,1005,815,0,2,2,0,0.04,0.65,dos
2,UDP,eco_i,SF,162,1102,0,3,0,16,0.24,0.77,normal
5,TCP,smtp,SF,1256,1577,0,3,0,13,0.42,0.91,normal
30,TCP,smtp,SF,1149,368,0,0,2,57,0.44,0.91,normal
15,TCP,http,SF,1276,1246,0,0,2,102,0.6,0.95,normal
60,UDP,dns,SF,656,1294,0,3,0,0,0.63,0.47,normal
1,TCP,http,SF,33,594,0,2,3,15,0.47,0.8,normal
10,UDP,dns,SF,638,1295,0,2,0,24,0.31,0.78,normal
0,TCP,http,S1,1173,1963,0,2,1,48,0.49,0.74,normal
10,UDP,ntp_u,SF,403,925,0,1,0,6,0.13,0.56,normal
60,TCP,telnet,REJ,1396,1536,0,3,2,20,0.45,0.59,dos
60,TCP,smtp,SF,1257,1105,0,0,3,38,0.38,0.59,normal
0,UDP,eco_i,SF,1238,1543,0,1,2,3,0.11,0.77,normal
5,TCP,http,SF,1584,1561,0,2,2,7,0.16,0.77,normal
1,TCP,http,SF,1569,1051,0,2,0,3,0.3,0.97,normal
60,TCP,smtp,REJ,771,1213,0,3,1,6,0.2,0.79,dos
15,TCP,smtp,S1,830,1142,0,3,2,84,0.26,0.87,normal
10,TCP,http,SF,1748,1550,0,2,3,19,0.55,0.71,normal
60,TCP,ftp,SF,1377,802,0,2,3,1,0.07,0.59,r2l
0,TCP,smtp,S1,1607,1990,0,1,2,1,0.22,0.94,normal
0,UDP,dns,SF,1453,890,0,0,2,0,0.22,0.78,normal
0,ICMP,echo,SF,0,0,0,2,2,29,0.07,0.93,probe
60,ICMP,echo,SF,0,0,0,3,3,20,0.05,0.82,probe
60,TCP,http,SF,852,1707,0,2,2,16,0.3,0.57,normal
2,TCP,http,REJ,794,874,0,1,1,7,0.29,0.66,dos
15,TCP,ftp,REJ,393,2085,0,0,3,25,0.26,0.97,dos
120,ICMP,echo,SF,0,0,0,0,0,67,0.23,0.72,probe
120,UDP,ntp_u,SF,1005,1657,0,1,3,40,0.06,0.61,normal
120,TCP,http,REJ,519,1715,0,1,3,15,0.27,0.7,dos
0,TCP,smtp,REJ,1126,1078,0,3,0,6,0.17,0.72,dos
30,TCP,smtp,SF,2148,1948,0,2,0,140,0.5,0.66,normal
2,TCP,http,SF,874,950,0,0,0,0,0.15,0.94,normal
10,ICMP,echo,SF,0,0,0,2,3,14,0.15,0.76,probe
0,UDP,dns,SF,749,1601,0,2,0,38,0.32,0.9,normal
15,TCP,http,SF,1288,1017,0,3,0,6,0.24,0.61,normal
10,TCP,http,SF,585,1029,0,3,1,44,0.38,0.73,normal
